company_name,contact_name,designation,phone,email,website,address,industry,source,notes
Spicy Madurai,,,+91 9790769632,,http://www.spicymadurai.wixsite.com/spicy,"1-6, Jonespuram I Street, Madurai",Other,OpenStreetMap,"osm/node/6631839714 | Madurai, TN"
CANARA BANK - MADURAI GRAND CENTRAL,,,1800 1030,,https://www.canarabank.com/,"197, NO.197, PANDIYAN HOUSE, 118-B, P.B, W Perumal Maistry St, Madurai Main, Madurai, Tamil Nadu 625001, Madurai, 625001",BFSI,OpenStreetMap,"osm/node/11806741469 | Madurai, TN"
